Name;Company;Type of industry;CO2 emissions [t];Type of source;Location (city);Provinc1028453ia;Location (latitude);Location (longitude);Primary product;Installed Capacity [t/a];Columna1;Utility of the installed capacity;Process;Year of emission data;Source CO2 emissions;CO2 factor [tCO2/tproduct];Generated energy [MWh] 2021;Quantity of fuel;Feedstock;Fuels;Source
;Ternium Argentina S.A.;Steel;;Industrial point source;Florencio Varela;Buenos Aires;-34.72722318;-58.18102379;Galvanized. electro zinced and prepainted ;;;;;;;;;;;;
;Ternium Argentina S.A.;Steel;;Industrial point source;Rosario;Santa Fe;-32.88917097;-60.70918231;Seam pipes;;;;;;;;;;;;
Planta siderúrgica TenarisSiderca;Ternaris S.A. / Siderca S.A.I.C.;Steel;650000;Industrial point source;Campana;Buenos Aires;-34.152554;-58.977388;Seamless pipes ;1300000;;0.538461538;Electric Arc Furnace (EAF);2021;https://climatetrace.org/map/argentina-manufacturing-co2;0.5;;;;;https://www.gem.wiki/Planta_sider%C3%BArgica_TenarisSiderca
;Ternaris S.A. / Siderca S.A.I.C.;Steel;;Industrial point source;Valentin Alsina;Buenos Aires;-34.66288154;-58.40681255;Seam pipes ;;;;;;;;;;;;
;Ternaris S.A. / Siderca S.A.I.C.;Steel;;Industrial point source;Villa Constitución;Santa Fe;-33.23981167;-60.31761739;Seam pipes ;;;;;;;;;;;;
;Ternaris S.A. / Siderca S.A.I.C.;Steel;;Industrial point source;Villa Mercedes;San Luis;-34.69235624;-58.54186997;Sucker rods and accesories ;;;;;;;;;;;;
Planta siderúrgia ArcelorMittal Acindar;Acindar Industria Argentina de Aceros S.A.;Steel;1015000;Industrial point source;Villa Constitución;Santa Fe;-33.256309;-60.292472;Billets. rolled non-flat products ;1750000;;0.628571429;Electric Arc Furnace (EAF);2021;https://climatetrace.org/map/argentina-manufacturing-co2;0.58;;;;;https://www.gem.wiki/Planta_sider%C3%BArgica_ArcelorMittal_Acindar
;Acindar Industria Argentina de Aceros S.A.;Steel;;Industrial point source;Rosario;Santa Fe;-32.97077123;-60.72206377;Billets. rolled non-flat products ;;;;;;;;;;;;
;Acindar Industria Argentina de Aceros S.A.;Steel;;Industrial point source;La Tablada;Buenos Aires;;;Billets. rolled non-flat products ;;;;;;;;;;;;
;Acindar Industria Argentina de Aceros S.A.;Steel;;Industrial point source;San Nicolas;Buenos Aires;-33.34700797;-60.25863236;Billets. rolled non-flat products ;;;;;;;;;;;;
