Name;Company;Type of industry;CO2 emissions [t];Type of source;Location (city);Provinc1028453ia;Location (latitude);Location (longitude);Primary product;Installed Capacity [t/a];Columna1;Utility of the installed capacity;Process;Year of emission data;Source CO2 emissions;CO2 factor [tCO2/tproduct];Generated energy [MWh] 2021;Quantity of fuel;Feedstock;Fuels;Source
PBB Polisur S.A.;;Etileno;229900;Industrial point source;Bahia Blanca;Buenos Aires;-38.65309984;-62.28055105;Etileno;275000;;;Linde;2021;IPA/Inventario GHG;0.836;;;;;
PBB Polisur S.A.;;Etileno;355300;Industrial point source;Bahia Blanca;Buenos Aires;-38.65309984;-62.28055105;Etileno;425000;;;CF Braun/Dow Chem.;2021;IPA/Inventario GHG;0.836;;;;;
CT BIOMASA GARRUCHOS;;Biomass Power Plant;257714.3512;Biogenic point source;;Corrientes;-27.94617937;-56.00073193;;36;255922.891;;;;;1.007;;;;;
CTBM. GENERACIÓN LAS JUNTURAS;;Biomass Power Plant;60021.67209;Biogenic point source;;Córdoba;-31.83992999;-63.44270922;;0.6;59604.441;;;;;1.007;;;;;
CTBM INGENIO LEALES;;Biomass Power Plant;5855.11087;Biogenic point source;;Tucumán;-27.07223015;-65.23077638;;2;5814.41;;;;;1.007;;;;;
CT BIOMASA SANTA ROSA CORRIENTES;;Biomass Power Plant;122490.2061;Biogenic point source;;Corrientes;-28.23787262;-58.06779436;;15;121638.735;;;;;1.007;;;;;
CT BIOMASA LA ESCONDIDA CHACO;;Biomass Power Plant;40100.60094;Biogenic point source;;Chaco;-27.1024196;-59.44379683;;10;39821.848;;;;;1.007;;;;;
CTBM BIOMASA UNITAN SEIS MEGA;;Biomass Power Plant;1307.533108;Biogenic point source;;Chaco;-27.37139972;-59.08705038;;6.7;1298.444;;;;;1.007;;;;;
ALTO PARANA-PTO.PIRAY;;Biomass Power Plant;88234.82331;Biogenic point source;;Misiones;-26.47536011;-54.72039929;;;87621.473;;;;;1.007;;;;;
ARCOR ING.LA PROVIDENCIA;;Biomass Power Plant;16590.35018;Biogenic point source;;Tucumán;-27.2644536;-65.56637912;;;16475.025;;;;;1.007;;;;;
AZUCARERA JUAN M.TERAN SA;;Biomass Power Plant;6297.718587;Biogenic point source;;Tucumán;-27.45834206;-65.60604599;;;6253.941;;;;;1.007;;;;;
CT BIOMASA MM BIOENERGÍA;;Biomass Power Plant;13977.00694;Biogenic point source;;Misiones;-27.63019753;-55.43580567;;;13879.848;;;;;1.007;;;;;
CT PRODEMAN BIOENERGÍA;;Biomass Power Plant;60021.67209;Biogenic point source;;Córdoba;-32.79407682;-63.86537614;;;59604.441;;;;;1.007;;;;;
ECO-ENERGIA S.A.BIOMASA;;Biomass Power Plant;18829.89501;Biogenic point source;;Misiones;-26.02800244;-54.58478971;;;18699.002;;;;;1.007;;;;;
GENERACION TICINO BIOMASA SA;;Biomass Power Plant;25099.65022;Biogenic point source;;Córdoba;-32.70126887;-63.43327446;;;24925.174;;;;;1.007;;;;;
Ingenio y Ref.S.Martin Tabacal;;Biomass Power Plant;98553.77889;Biogenic point source;;Salta;-23.2537127;-64.24116463;;;97868.698;;;;;1.007;;;;;
NIDERA SAFORCADA-Junin;;Biomass Power Plant;12.292449;Biogenic point source;;Buenos Aires;-34.58638693;-61.03071103;;;12.207;;;;;1.007;;;;;
PAPEL MISIONERO S.A.;;Biomass Power Plant;270.788342;Biogenic point source;;Misiones;-26.93529417;-55.12206674;;;268.906;;;;;1.007;;;;;
