Name;Company;Type of industry;CO2 emissions [t];Type of source;Location (city);Provincia;Location (latitude);Location (longitude)
CT ISLA VERDE - AGGREKO;;Thermal power plant;7670.00;Industrial point source;;Córdoba;-33.24178127;-62.39381422
CT ITATI - TURBODISEL;;Thermal power plant;1498.00;Industrial point source;;Corrientes;-27.31887856;-58.23844011
CT JUNIN;;Thermal power plant;14479.00;Industrial point source;;Buenos Aires;-34.55914506;-60.92796994
CT LA PAZ Entre Rios - ENARSA;;Thermal power plant;2674.00;Industrial point source;;Entre Ríos;-30.74961413;-59.60149196
CT LA PLATA - SULLAIR;;Thermal power plant;14048.00;Industrial point source;San Carlos;Buenos Aires;-34.9338664;-58.01640058
CT LA RIOJA - SECCO;;Thermal power plant;7688.00;Industrial point source;;La Rioja;-29.35906756;-66.83395555
CT LA RIOJA SUR- SECCO;;Thermal power plant;3506.00;Industrial point source;;La Rioja;-29.42128793;-66.82983567
CT LAGUNA BLANCA - SECCO;;Thermal power plant;4457.00;Industrial point source;Laguna Blanca;Formosa;-25.12695055;-58.25915073
CT LAS ARMAS II - EMGASUD;;Thermal power plant;606.00;Industrial point source;;Buenos Aires;-37.07639032;-57.81773168
CT LAS PALMAS 2 - ARAUCARIA;;Thermal power plant;100667.00;Industrial point source;;Buenos Aires;-34.07978591;-59.12506332
CT LAS PALMAS -TURBODISEL;;Thermal power plant;543.00;Industrial point source;;Chaco;-27.03271109;-58.70358987
CT LIBERTADOR GSM - SULLAIR;;Thermal power plant;3331.00;Industrial point source;;Jujuy;-23.73223944;-64.61405755
CT LINCOLN;;Thermal power plant;5898.00;Industrial point source;Lincoln;Buenos Aires;-34.85716731;-61.52070383
CT LOBOS BS.AS - SULLAIR;;Thermal power plant;23328.00;Industrial point source;;Buenos Aires;-35.18956801;-59.07850788
CT LOMA CAMPANA 1 -YPF;;Thermal power plant;93992.00;Industrial point source;;Neuquén;-37.92686761;-68.71536317
CT LOMA CAMPANA 2 -Y-GEN ELECT;;Thermal power plant;164946.00;Industrial point source;;Neuquén;-37.92686761;-68.71536317
CT LOMA DE LA LATA II(NEUQUEN);;Thermal power plant;228867.00;Industrial point source;;Neuquén;-38.51180658;-68.6063997
CT LUJAN II - ARAUCARIA ENERGY;;Thermal power plant;68363.00;Industrial point source;;Buenos Aires;-34.55594176;-59.03483213
CT MAGDALENA - APR ENERGY;;Thermal power plant;4433.00;Industrial point source;;Buenos Aires;-35.100081;-57.483894
CT MATHEU II - APR ENERGY;;Thermal power plant;1875.00;Industrial point source;;Buenos Aires;-34.39580865;-58.83489199
CT MIRAMAR I - ENERGYST;;Thermal power plant;23587.00;Industrial point source;;Buenos Aires;-38.24736618;-57.82379749
CT ORAN - SECCO;;Thermal power plant;3717.00;Industrial point source;;Salta;-23.1386542;-64.31143463
CT PARQUE INDUSTR.CATAM-SECCO;;Thermal power plant;8843.00;Industrial point source;;Catamarca;-28.52995995;-65.80098711
CT PASO LA PATRIA-TURBODISEL;;Thermal power plant;1189.00;Industrial point source;;Corrientes;-27.32287605;-58.56667495
CT PEREZ - SECCO;;Thermal power plant;109776.00;Industrial point source;;Santa Fe;-33.01941125;-60.82494636
CT PIEDRABUENA MG(L.LATA);;Thermal power plant;173945.00;Industrial point source;;Buenos Aires;-38.03244943;-62.3371078
CT PILAR - EPEC;;Thermal power plant;1055603.00;Industrial point source;;Córdoba;-31.66577634;-63.83191433
CT PILAR BS AS- PAMPA ENERGÍA;;Thermal power plant;187528.00;Industrial point source;;Buenos Aires;-34.2986356;-58.95101224
CT PIRANE - SULLAIR;;Thermal power plant;10675.00;Industrial point source;;Formosa;-25.67861;-59.07556
CT PRESIDENCIA ROCA;;Thermal power plant;1276.00;Industrial point source;;Chaco;-26.15352072;-59.60000813
CT RAFAELA - SECCO;;Thermal power plant;7300.00;Industrial point source;;Santa Fe;-31.25667;-61.52028
CT REALICO - SECCO;;Thermal power plant;6721.00;Industrial point source;;La Pampa;-35.055000;-64.24056
CT RENOVA - ALBANESI ENERGIA;;Thermal power plant;457321.00;Industrial point source;;Santa Fe;-32.60348225;-60.79474192
CT RIO TERCERO II - SoENERGY;;Thermal power plant;30138.00;Industrial point source;;Córdoba;-32.16105961;-64.15478473
CT ROCA SA;;Thermal power plant;502028.00;Industrial point source;;Río Negro;-38.64532632;-67.6716524
CT RUFINO Sta Fe - ENARSA;;Thermal power plant;8965.00;Industrial point source;;Santa Fe;-34.28871794;-62.66959238
CT SAENZ PEÑA - APR ENERGY;;Thermal power plant;3654.00;Industrial point source;;Chaco;-26.81555556;-60.41138889
CT SAENZ PEÑA II- AGGREKO;;Thermal power plant;4626.00;Industrial point source;;Chaco;-26.81477999;-60.41267637
CT SALTO 2 - SoENERGY;;Thermal power plant;103648.00;Industrial point source;;Buenos Aires;-34.20426055;-60.24871635
CT SAN MARTIN Chaco;;Thermal power plant;1320.00;Industrial point source;;Chaco;-26.55845431;-59.32413238
CT SAN PEDRO - CIERRE CC;;Thermal power plant;33804.00;Industrial point source;;Buenos Aires;-33.77667601;-59.72699232
CT SAN PEDRO - SPI ENERGY SA;;Thermal power plant;46087.00;Industrial point source;;Buenos Aires;-33.77822014;-59.72715283
CT SAN SALVADOR E.Rios -ENARSA;;Thermal power plant;1815.00;Industrial point source;;Entre Ríos;-31.60970051;-58.48874915
CT SAN VICENTE BsAs - ENARSA;;Thermal power plant;4595.00;Industrial point source;;Buenos Aires;-35.04344836;-58.32534848
