Name;Company;Industry;CO2_emissions_t;Source_CO2_emissions;Source;City;Province;Latitude;Longitude
;Ternaris S.A. / Siderca S.A.I.C.;Steel;;Industrial point source;Seam pipes ;Valentin Alsina;Buenos Aires;-34.66288154;-58.40681255
;Ternaris S.A. / Siderca S.A.I.C.;Steel;;Industrial point source;Seam pipes ;Villa Constitución;Santa Fe;-33.23981167;-60.31761739
;Ternaris S.A. / Siderca S.A.I.C.;Steel;;Industrial point source;Sucker rods and accesories ;Villa Mercedes;San Luis;-34.69235624;-58.54186997
Planta siderúrgia ArcelorMittal Acindar;Acindar Industria Argentina de Aceros S.A.;Steel;1015000.00;Industrial point source;Billets. rolled non-flat products ;Villa Constitución;Santa Fe;-33.256309;-60.292472
;Acindar Industria Argentina de Aceros S.A.;Steel;;Industrial point source;Billets. rolled non-flat products ;Rosario;Santa Fe;-32.97077123;-60.72206377
;Acindar Industria Argentina de Aceros S.A.;Steel;;Industrial point source;Billets. rolled non-flat products ;La Tablada;Buenos Aires;;
;Acindar Industria Argentina de Aceros S.A.;Steel;;Industrial point source;Billets. rolled non-flat products ;San Nicolas;Buenos Aires;-33.34700797;-60.25863236
;Acindar Industria Argentina de Aceros S.A.;Steel;;Industrial point source;Billets. rolled non-flat products ;Villa Mercedes;San Luis;-33.72087734;-65.46444205
Planta Siderurgica ACERBRAG;Acerbrag S.A. (grupo brasileño Votorantim);Steel;;Industrial point source;Rolled non-flat products ;Bragado;Buenos Aires;-35.13711789;-60.4520892
Aceros Zapla;Aceros Zapla S.A.;Steel;;Industrial point source;Billets. rolled non-flat products ;Palpalá;Jujuy;-24.2460988;-65.19816083
Planta siderúrgica Gerdau Sipar Pérez;Gerdau SA;Steel;103031.00;Industrial point source;Rolled non-flat products ;Pérez;Santa Fe;-32.9912336;-60.7588733
ALUAR SA - GENERADOR;Aluar;Thermal power plant;210445.00;Industrial point source;Electrical energy;Puerto Madryn;Chubut;-42.7438848;-65.04839927
ARCOR MARIO SEVESO ARROYITO;;Thermal power plant;93267.00;Industrial point source;;;Córdoba;;
C. TERMICAS MENDOZA PLUS;;Thermal power plant;788702.00;Industrial point source;;;Mendoza;;
C. TERMICAS MENDOZA SA;;Thermal power plant;297745.00;Industrial point source;;;Mendoza;;
C.COSTA ATLANTICA;;Thermal power plant;509899.00;Industrial point source;;;Buenos Aires;;
C.T. AES PARANA;;Thermal power plant;1717893.00;Industrial point source;;;Buenos Aires;;
C.T. AGUA DEL CAJON;;Thermal power plant;1108638.00;Industrial point source;Electrical energy;Neuquén;Neuquén;-38.93531878;-68.35746075
C.T. ALMIRANTE BROWN;Excell Power S.R.L.;Thermal power plant;7094.00;Industrial point source;Electrical energy;Burazco;Buenos Aires;-34.83766034;-58.40568505
