Name;Company;Type of industry;CO2 emissions [t];Type of source;Location (city);Provincia;Location (latitude);Location (longitude);Source CO2 emissions;Primary product;Installed Capacity [t/a];Columna1;Utility of the installed capacity;Process;Year of emission data
Fábrica Comodoro Rivadavia;PCR;Cement;;Industrial point source;Comodoro Rivadavia;Chubut;-45.80214455;-67.4236816;https://climatetrace.org/map/argentina-manufacturing-co2;Cement;;;;;2021
Fábrica Pico Truncado;PCR;Cement;457941.1765;Industrial point source;Pico Truncado;Santa Cruz;-46.78713825;-67.92954422;;Cement;600000;;;;
Planta siderúrgica Ternium Siderar;Ternium Argentina S.A.;Steel;5286272;Industrial point source;Ramallo/San Nicolas;Buenos Aires;-33.32260493;-60.15945416;https://climatetrace.org/map/argentina-manufacturing-co2;Slabs and hot rolled flat products . cold rolled flat products . tinplate;3200000;;0.59375;Blast Furnace - Basic Oxygen Furnace (BF-BOF);2021
;Ternium Argentina S.A.;Steel;;Industrial point source;Ensenada;Buenos Aires;-34.80606584;-57.92924997;;Cold rolled flat products ;;;;;
;Ternium Argentina S.A.;Steel;;Industrial point source;Haedo;Buenos Aires;-34.58262707;-58.63146321;;Galvanized. electro zinced and prepainted ;;;;;
;Ternium Argentina S.A.;Steel;;Industrial point source;Canning;Buenos Aires;-34.79942658;-58.51610678;;Galvanized. electro zinced and prepainted ;;;;;
;Ternium Argentina S.A.;Steel;;Industrial point source;Florencio Varela;Buenos Aires;-34.72722318;-58.18102379;;Galvanized. electro zinced and prepainted ;;;;;
;Ternium Argentina S.A.;Steel;;Industrial point source;Rosario;Santa Fe;-32.88917097;-60.70918231;;Seam pipes;;;;;
Planta siderúrgica TenarisSiderca;Ternaris S.A. / Siderca S.A.I.C.;Steel;650000;Industrial point source;Campana;Buenos Aires;-34.152554;-58.977388;https://climatetrace.org/map/argentina-manufacturing-co2;Seamless pipes ;1300000;;0.538461538;Electric Arc Furnace (EAF);2021
;Ternaris S.A. / Siderca S.A.I.C.;Steel;;Industrial point source;Valentin Alsina;Buenos Aires;-34.66288154;-58.40681255;;Seam pipes ;;;;;
;Ternaris S.A. / Siderca S.A.I.C.;Steel;;Industrial point source;Villa Constitución;Santa Fe;-33.23981167;-60.31761739;;Seam pipes ;;;;;
;Ternaris S.A. / Siderca S.A.I.C.;Steel;;Industrial point source;Villa Mercedes;San Luis;-34.69235624;-58.54186997;;Sucker rods and accesories ;;;;;
Planta siderúrgia ArcelorMittal Acindar;Acindar Industria Argentina de Aceros S.A.;Steel;1015000;Industrial point source;Villa Constitución;Santa Fe;-33.256309;-60.292472;https://climatetrace.org/map/argentina-manufacturing-co2;Billets. rolled non-flat products ;1750000;;0.628571429;Electric Arc Furnace (EAF);2021
;Acindar Industria Argentina de Aceros S.A.;Steel;;Industrial point source;Rosario;Santa Fe;-32.97077123;-60.72206377;;Billets. rolled non-flat products ;;;;;
;Acindar Industria Argentina de Aceros S.A.;Steel;;Industrial point source;La Tablada;Buenos Aires;;;;Billets. rolled non-flat products ;;;;;
;Acindar Industria Argentina de Aceros S.A.;Steel;;Industrial point source;San Nicolas;Buenos Aires;-33.34700797;-60.25863236;;Billets. rolled non-flat products ;;;;;
;Acindar Industria Argentina de Aceros S.A.;Steel;;Industrial point source;Villa Mercedes;San Luis;-33.72087734;-65.46444205;;Billets. rolled non-flat products ;;;;;
Planta Siderurgica ACERBRAG;Acerbrag S.A. (grupo brasileño Votorantim);Steel;;Industrial point source;Bragado;Buenos Aires;-35.13711789;-60.4520892;;Rolled non-flat products ;250000;;;Electric Arc Furnace (EAF);
Aceros Zapla;Aceros Zapla S.A.;Steel;;Industrial point source;Palpalá;Jujuy;-24.2460988;-65.19816083;;Billets. rolled non-flat products ;80000;;;Electric Arc Furnace (EAF);
Planta siderúrgica Gerdau Sipar Pérez;Gerdau SA;Steel;103031;Industrial point source;Pérez;Santa Fe;-32.9912336;-60.7588733;https://climatetrace.org/map/argentina-manufacturing-co2;Rolled non-flat products ;650000;;0.207692308;Electric Arc Furnace (EAF);2021
ALUAR SA - GENERADOR;Aluar;Thermal power plant;210445;Industrial point source;Puerto Madryn;Chubut;-42.7438848;-65.04839927;CAMMESA;Electrical energy;189;;;;2021
ARCOR MARIO SEVESO ARROYITO;;Thermal power plant;93267;Industrial point source;;Córdoba;-31.42055514;-63.03885915;CAMMESA;;;;;;2021
C. TERMICAS MENDOZA PLUS;;Thermal power plant;788702;Industrial point source;;Mendoza;-33.02787784;-68.89874272;CAMMESA;;288.466;;;;2021
C. TERMICAS MENDOZA SA;;Thermal power plant;297745;Industrial point source;;Mendoza;;;CAMMESA;;203.77;;;;2021
