latitude,longitude,altitude,geometry,Name,Company,Industry,CO2_emissions_t,Source_CO2_emissions,City,Province,Primary product,Installed Capacity [t/a],Columna1,Utility of the installed capacity,Process,year_emission,Source,CO2 factor [tCO2/tproduct]
-33.32260493,-60.15945416,,Point,Planta siderúrgica Ternium Siderar,Ternium Argentina S.A.,Steel,5286272,Industrial point source,Ramallo/San Nicolas,Buenos Aires,"Slabs and hot rolled flat products , cold rolled flat products , tinplate",3200000,,0.59375,Blast Furnace - Basic Oxygen Furnace (BF-BOF),2021,Estimated. See sources and methodology.,1.65196
-34.152554,-58.977388,,Point,Planta siderúrgica TenarisSiderca,Ternaris S.A. / Siderca S.A.I.C.,Steel,650000,Industrial point source,Campana,Buenos Aires,Seamless pipes ,1300000,,0.538461538,Electric Arc Furnace (EAF),2021,Estimated. See sources and methodology.,0.5
-33.256309,-60.292472,,Point,Acindar,Acindar Industria Argentina de Aceros S.A.,Steel,1015000,Industrial point source,Villa Constitución,Santa Fe,"Billets, rolled non-flat products ",1750000,,0.628571429,Electric Arc Furnace (EAF),2021,Estimated. See sources and methodology.,0.58
-32.9912336,-60.7588733,,Point,Planta siderúrgica Gerdau Sipar Pérez,Gerdau SA,Steel,103031,Industrial point source,Pérez,Santa Fe,Rolled non-flat products ,650000,,0.207692308,Electric Arc Furnace (EAF),2021,Estimated. See sources and methodology.,0.17746
-42.7438848,-65.04839927,,Point,ALUAR SA - GENERADOR,Aluar,Fossil Thermal Power Plant,210445,Industrial point source,Puerto Madryn,Chubut,Electrical energy,189,,,,2021,CAMMESA,1.94819592
-31.42055514,-63.03885915,,Point,ARCOR MARIO SEVESO ARROYITO,,Fossil Thermal Power Plant,93267,Industrial point source,Arroyito,Córdoba,,,,,,2021,CAMMESA,1.94819592
-33.02787784,-68.89874272,,Point,C. TERMICAS MENDOZA PLUS,,Fossil Thermal Power Plant,788702,Industrial point source,Lujan de Cuyo,Mendoza,,288.466,,,,2021,CAMMESA,1.94819592
-36.30875528,-56.63689546,,Point,C.COSTA ATLANTICA,,Fossil Thermal Power Plant,509899,Industrial point source,La Plata,Buenos Aires,,455.88,,,,2021,CAMMESA,2.347655665
-32.97092569,-60.1538909,,Point,C.T. AES PARANA,,Fossil Thermal Power Plant,1717893,Industrial point source,San Nicolás de los Arroyos,Buenos Aires,,869.51,,,,2021,CAMMESA,2.240478703
-38.93531878,-68.35746075,,Point,C.T. AGUA DEL CAJON,,Fossil Thermal Power Plant,1108638,Industrial point source,Neuquén,Neuquén,Electrical energy,184.4,,,,2021,CAMMESA,1.94819592
-34.83766034,-58.40568505,,Point,C.T. ALMIRANTE BROWN,Excell Power S.R.L.,Fossil Thermal Power Plant,7094,Industrial point source,Burazco,Buenos Aires,Electrical energy,25,,,,2021,CAMMESA,2.697170552
-38.51178974,-68.60637825,,Point,C.T. LOMA DE LA LATA S.A.,C.T. LOMA DE LA LATA S.A.,Fossil Thermal Power Plant,1779653,Industrial point source,Neuquén,Neuquén,Electrical energy,675,,,,2021,CAMMESA,1.94819592
-45.81390612,-67.44427712,,Point,C.T. PATAGONICAS SA,CENTRALES TERMICAS PATAGONICAS S.A.,Fossil Thermal Power Plant,27712,Industrial point source,Comodoro Rivadavia,Chubut,Electrical energy,160,,,,2021,CAMMESA,1.94819592
-24.74271171,-65.05151496,,Point,C.T. SALTA (TERMOANDES),AES,Fossil Thermal Power Plant,1004183,Industrial point source,Cobos,Salta,Electrical energy,642.7,,,,2021,CAMMESA,1.94819592
-38.95161594,-68.02174487,,Point,C.TERMICA ALTO VALLE,,Fossil Thermal Power Plant,198282,Industrial point source,Neuquén,Neuquén,Electrical energy,96,,,,2021,CAMMESA,1.94819592
-24.75718674,-65.34767737,,Point,C.TERMICA GUEMES S.A.,,Fossil Thermal Power Plant,139062,Industrial point source,Gral. Güemes,Salta,,261,,,,2021,CAMMESA,1.94819592
-33.35809074,-60.17476179,,Point,C.TERMICA SAN NICOLAS,AES,Fossil Thermal Power Plant,2158549,Industrial point source,San Nicolás de Los Arroyos,Buenos Aires,Electrical energy,675,,,,2021,CAMMESA,2.382121966
-32.90624373,-60.68192663,,Point,C.TERMICA SORRENTO,,Fossil Thermal Power Plant,20821,Industrial point source,Rosario,Santa Fe,,217,,,,2021,CAMMESA,2.356224249
-38.93576108,-68.35797573,,Point,CAPEX S.A. AUTOGENERADOR,,Fossil Thermal Power Plant,1075683,Industrial point source,Agua del Cajon,Neuquén,,477.1,,,,2021,CAMMESA,1.94819592
-34.88987358,-57.93335436,,Point,CENTRAL DIQUE S.A.,CENTRAL DIQUE S.A.,Fossil Thermal Power Plant,478,Industrial point source,Ensenada,Buenos Aires,Electrical energy,55,,,,2021,CAMMESA,1.94819592
-34.65327861,-58.34352059,,Point,CENTRAL DOCK SUD,Central Dock Sud,Fossil Thermal Power Plant,2101890,Industrial point source,Dock Sud,Buenos Aires,Electrical energy,869.5,,,,2021,CAMMESA,2.114634727
-38.78482523,-62.25607271,,Point,CENTRAL PIEDRA BUENA S.A.,Pampa Energía,Fossil Thermal Power Plant,243763,Industrial point source,Ingeniero White,Buenos Aires,Electrical energy,,,,,2021,CAMMESA,2.40722779
-34.56347462,-58.385489,,Point,CENTRAL PUERTO SA,Central Puerto S.A.,Fossil Thermal Power Plant,3481800,Industrial point source,Buenos Aires,Buenos Aires,Electrical energy,1777,,,,2021,CAMMESA,2.41650066
-22.35004604,-63.76700533,,Point,CENTRAL TERMICA PIQUIRENDA,Pampa Energía,Fossil Thermal Power Plant,25963,Industrial point source,Piquirenda,Salta,Electrical energy,30.4,,,,2021,CAMMESA,1.94819592
-38.04949391,-57.54553583,,Point,CT 9 de JULIO C Cost ATLANTICA,Centrales de la Costa Atlántica S.A.,Fossil Thermal Power Plant,221258,Industrial point source,Mar del Plata,Buenos Aires,Electrical energy,94.74,,,,2021,CAMMESA,2.247785773
-27.55844357,-55.28616792,,Point,CT ALEM - AGGREKO,,Fossil Thermal Power Plant,35577,Industrial point source,LEANDRO N. ALEM,Misiones,,15,,,,2021,CAMMESA,2.697170552
-33.3133564,-68.89151146,,Point,CT ANCHORIS - METHAX,EMESA,Fossil Thermal Power Plant,50825,Industrial point source,Tupungato,Mendoza,Electrical energy,40,,,,2021,CAMMESA,1.94819592
-28.44584131,-62.85560319,,Point,CT AÑATUYA - SULLAIR,,Fossil Thermal Power Plant,11557,Industrial point source,Añatuya,Santiago del Estero,Electrical energy,19.2,,,,2021,CAMMESA,2.697170552
-28.44584131,-62.85560319,,Point,CT AÑATUYA II - SULLAIR,,Fossil Thermal Power Plant,4840,Industrial point source,Añatuya,Santiago del Estero,Electrical energy,11.5,,,,2021,CAMMESA,2.697170552
-27.09123769,-54.86344241,,Point,CT ARISTOBU.DEL VALLE-SOENERGY,,Fossil Thermal Power Plant,24495,Industrial point source,Aristóbulo del Valle,Misiones,Electrical energy,15,,,,2021,CAMMESA,2.697170552
-27.79292098,-62.15515275,,Point,CT BANDERA SgoEstero - ENARSA,,Fossil Thermal Power Plant,4539,Industrial point source, La Banda,Santiago del Estero,,32.5,,,,2021,CAMMESA,2.697170552
-41.0854318,-71.35591366,,Point,CT BARILOCHE,,Fossil Thermal Power Plant,1392,Industrial point source,Bariloche,Río Negro,,20,,,,2021,CAMMESA,2.697170552
-37.54858826,-59.4506657,,Point,CT BARKER CIERRE CC,,Fossil Thermal Power Plant,636102,Industrial point source,Benito Juárez,Buenos Aires,Electrical energy,105.85,,,,2021,CAMMESA,2.230277275
-34.85965751,-57.95577403,,Point,CT BARRAGAN - ENARSA,ENARSA,Fossil Thermal Power Plant,319657,Industrial point source,Ensenada,Buenos Aires,Electrical energy,567,,,,2021,CAMMESA,2.266510139
-27.48591444,-58.93260519,,Point,CT BARRANQUERAS Chaco,,Fossil Thermal Power Plant,3373,Industrial point source,Barranqueras ,Chaco,,21.7,,,,2021,CAMMESA,2.697170552
