Name;Company;Type of industry;CO2 emissions [t];Type of source;Location (city);Provincia;Location (latitude);Location (longitude);Primary product;Installed Capacity [t/a];Columna1;Utility of the installed capacity;Process;Year of emission data;Source CO2 emissions;CO2 factor [tCO2/tproduct];Generated energy [MWh] 2021;Quantity of fuel;Feedstock;Fuels;Source;;Potencial producción Metanol [t/a];Consumo de  H2 [t/a];Potencia electrolisis (FC: 60%) [MW]
CT AÑATUYA II - SULLAIR;;Thermal power plant;4840.00;Industrial point source;Añatuya;Santiago del Estero;-28.44584131;-62.85560319;Electrical energy;12;;;;2021;CAMMESA;2.70;6.736;1.794;;;;;3.046;703;7
CT ARISTOBU.DEL VALLE-SOENERGY;;Thermal power plant;24495.00;Industrial point source;Aristóbulo del Valle;Misiones;-27.09123769;-54.86344241;Electrical energy;15;;;;2021;CAMMESA;2.70;34.282;9.082;;;;;15.415;3.558;34
CT ARRECIFES-AGGREKO;;Thermal power plant;8081.00;Industrial point source;;Buenos Aires;;;;20;;;;2021;CAMMESA;2.70;10.529;2.996;;;;;5.086;1.174;11
CT BANDERA SgoEstero - ENARSA;;Thermal power plant;4539.00;Industrial point source;;Santiago del Estero;-27.79292098;-62.15515275;;33;;;;2021;CAMMESA;2.70;5.626;1.683;;;;;2.857;659;6
CT BARILOCHE;;Thermal power plant;1392.00;Industrial point source;;Río Negro;-41.0854318;-71.35591366;;20;;;;2021;CAMMESA;2.70;2.004;516;;;;;876;202;2
CT BARKER CIERRE CC;;Thermal power plant;636102.00;Industrial point source;Benito Juárez;Buenos Aires;-37.54858826;-59.4506657;Electrical energy;106;;;;2021;CAMMESA;2.23;1.499.099;308.184;;;;;400.316;92.393;879
CT BARRAGAN - ENARSA;ENARSA;Thermal power plant;319657.00;Industrial point source;Ensenada;Buenos Aires;-34.85965751;-57.95577403;Electrical energy;567;;;;2021;CAMMESA;2.27;545.648;153.089;;;;;201.169;46.430;442
CT BARRANQUERAS Chaco;;Thermal power plant;3373.00;Industrial point source;;Chaco;-27.48591444;-58.93260519;;22;;;;2021;CAMMESA;2.70;4.679;1.251;;;;;2.123;490;5
CT BELL VILLE - SULLAIR;SULLAIR ARGENTINA S.A.;Thermal power plant;6459.00;Industrial point source;Bell Ville;Córdoba;-32.61039562;-62.68583225;Electrical energy;16;;;;2021;CAMMESA;2.70;9.090;2.395;;;;;4.065;938;9
CT BRACHO CIERRE CC- Y-GEN S.A;;Thermal power plant;1242878.00;Industrial point source;;Tucumán;-26.99529044;-65.17017867;;199;;;;2021;CAMMESA;1.95;3.385.914;637.964;;;;;782.176;180.526;1.717
CT BRAGADO - EMGASUD;;Thermal power plant;7559.00;Industrial point source;;Buenos Aires;-34.81288221;-60.40005;;;;;;2021;CAMMESA;2.14;12.869;3.835;;;;;4.757;1.098;10
CT BRAGADO 2 - GENNEIA;Genneia;Thermal power plant;79138.00;Industrial point source;Bragado;Buenos Aires;-35.13651396;-60.43241426;Electrical energy;59;;;;2021;CAMMESA;2.25;128.764;38.958;;;;;49.804;11.495;109
CT BRAGADO 3 - GENNEIA;Genneia;Thermal power plant;92453.00;Industrial point source;Bragado;Buenos Aires;-35.13651396;-60.43241426;Electrical energy;61;;;;2021;CAMMESA;2.22;147.631;44.387;;;;;58.183;13.429;128
CT BRIGADIER LOPEZ;Central Puerto S.A.;Thermal power plant;64572.00;Industrial point source;Santa Fe;Santa Fe;-31.71284154;-60.77930021;Electrical energy;280;;;;2021;CAMMESA;2.32;93.216;26.508;;;;;40.637;9.379;89
CT CAIMANCITO -SULLAIR;;Thermal power plant;62571.00;Industrial point source;Libertador Gral San Martín;Jujuy;-23.73226891;-64.61399317;Electrical energy;91;;;;2021;CAMMESA;1.95;137.124;32.117;;;;;39.378;9.088;86
CT CAÑADA DE GOMEZ - SECCO;Secco;Thermal power plant;105744.00;Industrial point source;Cañada de Gómez;Santa Fe;-32.78187222;-61.41843352;Electrical energy;67;;;;2021;CAMMESA;2.67;169.317;34.868;;;;;66.548;15.359;146
CT CAPITAN SARMIENTO - SECCO;Secco;Thermal power plant;10205.00;Industrial point source;;Buenos Aires;-34.16216899;-59.79574076;;5;;;;2021;CAMMESA;2.70;13.840;3.783;;;;;6.422;1.482;14
CT CASTELLI - AGGREKO;;Thermal power plant;9440.00;Industrial point source;;Chaco;-25.94900872;-60.61986966;;15;;;;2021;CAMMESA;2.70;13.195;3.500;;;;;5.941;1.371;13
CT CATAMARCA - SECCO;;Thermal power plant;10013.00;Industrial point source;;Catamarca;-28.4208082;-65.78776983;;19;;;;2021;CAMMESA;2.70;13.860;3.712;;;;;6.301;1.454;14
